id,x,y,class
0,4.1721506,-49.812344,0
1,18.72797,-39.45251,0
2,0.7961841,-39.187496,0
3,6.70336,-25.753172,0
4,20.95936,-32.970398,0
5,1.3890193,-35.838226,0
6,5.600016,-26.221249,0
7,-3.197356,-34.62187,0
8,18.175526,-39.544838,0
9,-6.9316688,-43.011265,0
10,-8.179752,-42.99155,0
11,-1.2490295,-35.359524,0
12,13.052471,-30.640013,0
13,-4.0003543,-51.948605,0
14,4.3474383,-28.601889,0
15,-5.60067,-30.692461,0
16,13.542837,-25.354969,0
17,-5.0374646,-35.217426,0
18,19.906755,-35.31403,0
19,5.0849743,-33.03226,0
20,5.1378613,-24.877586,0
21,15.826944,-28.290228,0
22,5.9033704,-25.14109,0
23,4.358759,-43.51604,0
24,15.671722,-49.43559,0
25,15.382606,-47.897533,0
26,2.0699306,-28.789766,0
27,-3.900034,-48.62643,0
28,-6.591424,-52.804092,0
29,-5.3072624,-44.091015,0
30,16.730516,-49.08298,0
31,0.64656615,-25.879904,0
32,0.62184316,-25.459608,0
33,-5.606776,-36.001083,0
34,-3.3754346,-41.687553,0
35,14.405694,-46.200275,0
36,-8.658648,-44.264744,0
37,-0.3931846,-40.402996,0
38,10.698545,-40.779785,0
39,8.108037,-46.312077,0
40,5.0911527,-51.335575,0
41,-7.443635,-32.236725,0
42,12.147218,-41.08614,0
43,8.008584,-48.903336,0
44,10.65412,-45.89089,0
45,-4.8607507,-46.374214,0
46,20.067112,-32.276337,0
47,8.656492,-44.19305,0
48,5.5800643,-51.52778,0
49,0.88415277,-41.13689,0
50,14.974834,-45.993763,0
51,6.0160875,-51.984203,0
52,15.518349,-46.656975,0
53,10.341351,-48.81012,0
54,3.9747472,-43.074677,0
55,12.923041,-32.286278,0
56,-0.7700559,-36.646557,0
57,20.132858,-32.33958,0
58,16.56281,-41.304317,0
59,-5.9341393,-31.12696,0
60,16.350237,-49.333088,0
61,-7.4039793,-44.896126,0
62,2.3464677,-35.677002,0
63,12.818749,-29.71754,0
64,2.2254303,-26.927351,0
65,-6.513921,-54.067245,0
66,11.842836,-41.35217,0
67,14.742207,-23.921516,0
68,-0.6656058,-35.683105,0
69,15.3113785,-25.292084,0
70,15.701749,-42.289764,0
71,3.2099338,-43.018238,0
72,9.546612,-47.072594,0
73,-3.8945963,-49.16653,0
74,2.716596,-35.83922,0
75,-1.7592366,-53.11639,0
76,6.261362,-51.02682,0
77,-6.723987,-51.77302,0
78,-3.1114953,-52.885612,0
79,-2.9996614,-34.17785,0
80,-5.5502796,-39.53905,0
81,-4.4006,-39.882935,0
82,-2.53769,-53.06229,0
83,17.955568,-33.107483,0
84,1.1017616,-45.634098,0
85,17.291544,-40.034924,0
86,12.115035,-35.319405,0
87,4.5706387,-50.88475,0
88,-7.3831096,-33.00912,0
89,-1.4584843,-35.77909,0
90,-6.4514155,-52.37928,0
91,0.704252,-39.41177,0
92,-4.18513,-38.277493,0
93,-3.7341793,-41.696854,0
94,-4.804527,-45.91699,0
95,15.398453,-49.701336,0
96,0.08796118,-45.071526,0
97,-6.3877125,-53.145287,0
98,-5.7046885,-33.247227,0
99,1.9160831,-34.928425,0
100,-6.014984,-41.8617,0
101,13.213538,-41.499626,0
102,-3.2228005,-53.297073,0
103,2.6313727,-35.65841,0
104,-1.5267746,-36.526848,0
105,5.479233,-24.288952,0
106,11.619396,-34.39874,0
107,15.599199,-30.319067,0
108,3.7468178,-28.925423,0
109,-5.736849,-54.46901,0
110,1.2875932,-24.627415,0
111,19.131105,-32.393024,0
112,-6.642927,-44.66401,0
113,-5.2524395,-31.123558,0
